nom_en_base;nom_mesr_2026_2027;justification
ESIBA Business School (École Supérieure d'Informatique, de Business et d'Administration);Ecole Supérieure d'Informatique, de Business et d'Administration (ESIBA);meme acronyme ESIBA
Institut des Sciences Technologiques, Économiques et Administratives (FORMATEC);FORMATEC;acronyme FORMATEC porte en base
IPNET Institute of Technology;Institut de technologie IPNET IT;traduction du meme nom
Institut Supérieur de Philosophie et des Sciences Humaines Don Bosco;Institut supérieur Don Bosco;libelle court cote MESR
Institut Supérieur du Bâtiment et du Design Ayin'A;Institut supérieur de Bâtiment Ayin'a (ISBA);meme etablissement Ayin'A
Global University of Science & Technology – Togo;Global University School of Science and Technology (GUST);meme etablissement GUST
École Supérieure d'Architecture et de Topographie;Ecole supérieure des techniques appliquées aux bâtiments (ESTABAT);ESTABAT designe cet etablissement dans la liste MESR
Institut Supérieur de Management Monseigneur Bakpessi;Institut des Sciences et de Management Mgr BAKPESSI (ISMB-Lomé-Kara);meme etablissement Mgr Bakpessi
Institut de Formation aux Métiers de la Sécurité Sociale;Institut des Sciences Economiques, de Gestion, de Technologies et de la Sécurité Sociale (Institut IFOMESS-Kara);meme etablissement IFOMESS
Institut UPSILON Collège de Paris Supérieur;Ascencia Keyce (ex Institut Collège de Paris Supérieur);renomme en 2026-2027, mention "ex" dans la liste MESR
École Polytechnique de Lomé;Ecole Nationale Polytechnique (ENP);A CONFIRMER - ENP correspond vraisemblablement a l'ex EPL
Centre de Formation Professionnelle Hôtelière ANCILLA;Ecole supérieure de formation professionnelle FIMAC (ESFP-FIMAC);A CONFIRMER - la liste MESR 2026-2027 repete ESFP-FIMAC en n°16 et n°26 ; en 2025-2026 le n°16 etait CFP ANCILA
