decision;statut;name;city;type;region;website;description;correspondance_base;similarite;num_mesr;source_ville
importer;nouveau;Carrefour Informatique et Bureautique – Institut des Nouvelles Technologies Appliquées (CIB-INTA);Lomé;institut;Maritime;https://inta-togo.com;;;;2;MESR + site inta-togo.com (Hédzranawoé, Lomé)
importer;nouveau;École Supérieure des Arts et Sciences du Numérique (ESASN);Lomé;grande_ecole;Maritime;https://esastogo.org;;;;10;MESR + esastogo.org
importer;nouveau;École Supérieure de Formation Professionnelle (ESFP-FIMAC);Lomé;grande_ecole;Maritime;;;;;27;MESR (Grand Lomé)
importer;nouveau;Hôtel École La Savoureuse (HES);Lomé;institut;Maritime;;;;;32;MESR (Grand Lomé)
importer;nouveau;Institut Supérieur « LA MAITRISE »;Lomé;institut;Maritime;;;;;45;MESR (Grand Lomé)
importer;nouveau;Institut Supérieur « LE TECHNOCRATE »;Lomé;institut;Maritime;;;;;46;MESR (Grand Lomé)
importer;nouveau;Institut Supérieur Agata Carelli (ISAC);Lomé;institut;Maritime;;;;;48;MESR (Grand Lomé)
importer;nouveau;Haute École de Technologies et de Management des Lacs (HETML);Lomé;grande_ecole;Maritime;;;;;52;MESR (Grand Lomé)
importer;nouveau;Institut Universitaire Global Wealth;Lomé;institut;Maritime;;;;;59;MESR (Grand Lomé)
importer;nouveau;Institut UPSILON Collège de Paris Supérieur;Lomé;institut;Maritime;;;;;60;MESR (Grand Lomé)
importer;nouveau;Institut des Technologies Avancées (JUMAU ITA);Lomé;institut;Maritime;;;;;61;MESR (Grand Lomé)
importer;nouveau;École Supérieure des Arts de la Mode et des Arts Plastiques (ESAMOD);Lomé;grande_ecole;Maritime;;;;;66;MESR + esamod (Nukafu, Lomé)
importer;nouveau;American Institute of Commonwealth – Togo (AIC-Togo);Lomé;institut;Maritime;;;;;69;MESR (Grand Lomé)
importer;nouveau;Heritage International University Institute (HIUI);Lomé;institut;Maritime;;;;;70;MESR (Grand Lomé)
importer;nouveau;École Supérieure d'Esthétique Appliquée Pharm-A-Peau (ESEA-Q'LS);Lomé;grande_ecole;Maritime;;;;;72;MESR (Grand Lomé)
importer;nouveau;Institute Consortium Saint John Revelation Institute of Strategy and Leadership (ISL);Lomé;institut;Maritime;;;;;85;MESR (Grand Lomé)
importer;nouveau;École Supérieure d'Ingénieurs d'Aného (ESIA);Aného;grande_ecole;Maritime;;;;;86;MESR (nom porte la localité)
importer;nouveau;Hôtel École Concordia;Lomé;institut;Maritime;;;;;87;MESR (Grand Lomé)
importer;nouveau;École Supérieure Le Miel de Kpové-Zion;Kpové;grande_ecole;Maritime;;;;;88;A CONFIRMER - nom porte Kpové (prefecture de Zio)
importer;nouveau;Univers du Leadership International de XOESE (Univers XOESE);Lomé;institut;Maritime;;;;;89;MESR (Grand Lomé)
importer;nouveau;Centre de Formation Supérieure SartenMode (CFS-SartenMode);Lomé;institut;Maritime;;;;;92;MESR (Grand Lomé)
