secteur;num;nom_mesr;acronyme;ville
public;1;Université de Lomé (UL);UL;Lomé
public;2;Université de Kara (UK);UK;Kara
public;3;Centre International de Recherche et d'Etude de Langues - Village du Bénin (CIREL-VB);CIREL-VB;Lomé
public;4;Ecole Normale Supérieure d'Atakpamé (ENS-Atakpamé);ENS-Atakpamé;Atakpamé
public;5;Institut Africain d'Informatique (IAI-Togo);IAI-Togo;Lomé
public;6;École Nationale des Auxiliaires Médicaux (ENAM);ENAM;Lomé
public;7;Centre Régional de Formation pour l'Entretien Routier (CERFER);CERFER;Lomé
public;8;Institut National de Formation Agricole de Tové (INFA-Tové);INFA-Tové;Tové
public;9;Institut Régional d'Enseignement Supérieur et de Recherche en Développement Culturel (IRES-RDEC);IRES-RDEC;Lomé
public;10;Ecole Africaine des Métiers de l'Architecture et de l'Urbanisme (EAMAU);EAMAU;Lomé
public;11;Institut de Formation Fiscale et Douanière (IFFD-OTR);IFFD-OTR;Lomé
public;12;Centre de Formation aux Métiers de l'Industrie (CFMI);CFMI;Lomé
public;13;Ecole Nationale Polytechnique (ENP);ENP;Lomé
prive;1;Centre de Formation Bancaire du Togo (CFBT);CFBT;Lomé
prive;2;Carrefour Informatique et Bureautique - Institut des Nouvelles Technologies Appliquées (CIB-INTA Lomé et Kara);CIB-INTA Lomé et Kara;Lomé (et Kara)
prive;3;Centre de Perfectionnement aux Techniques Economiques et Commerciales (CPTEC);CPTEC;Lomé
prive;4;Centre Informatique de Formation et d'Orientation Professionnelle (CIFOP-Lomé);CIFOP-Lomé;Lomé
prive;5;Centre Omnithérapeutique Africain (COA);COA;Lomé
prive;6;Ecole de Finance;;Lomé
prive;7;Ecole des Cadres;;Lomé
prive;8;Hautes Etudes de Sciences et Technologies (HEST);HEST;Lomé
prive;9;Ecole Maritime du Togo (EMARITO);EMARITO;Lomé
prive;10;Ecole Supérieure des Arts et Sciences du Numérique (ESASN);ESASN;Lomé
prive;11;Ecole Supérieure d'Administration et de Gestion Notre Dame de l'Eglise (ESAG-NDE);ESAG-NDE;Lomé
prive;12;Ecole Supérieure d'Audit et de Management (ESAM);ESAM;Lomé
prive;13;Ecole Supérieure d'Informatique et de Gestion GLOBAL SUCCESS (ESIG GLOBAL SUCCESS);ESIG GLOBAL SUCCESS;Lomé
prive;14;Ecole Supérieure d'Informatique, de Business et d'Administration (ESIBA);ESIBA;Lomé
prive;15;Ecole Supérieure de Commerce et de l'Economie Numérique (ESCEN);ESCEN;Lomé
prive;16;Ecole supérieure de formation professionnelle FIMAC (ESFP-FIMAC);ESFP-FIMAC;Lomé
prive;17;Ecole Supérieure de Gestion, d'Informatique et des Sciences (ESGIS);ESGIS;Lomé
prive;18;Ecole Supérieure de Management (ESMA);ESMA;Lomé
