num;nom_mesr;acronyme;ville;doublon_source
1;Centre de Formation Bancaire du Togo (CFBT);CFBT;Lomé;
2;Carrefour Informatique et Bureautique Institut des Nouvelles Technologies Appliquées (CIB-INTA);CIB-INTA;Lomé;
3;Centre de Perfectionnement aux Techniques Économiques et Commerciales (CPTEC);CPTEC;Lomé;
4;Centre Informatique de Formation et d’Orientation Professionnelle (CIFOP);CIFOP;Lomé;
5;Centre Omnithérapeutique Africain (COA);COA;Lomé;
6;École de Finance;;Lomé;
7;École des Cadres;;Lomé;
8;École Maritime du Togo (EMARITO);EMARITO;Lomé;
9;École des Hautes Études de Sciences et Technologies (HEST);HEST;Lomé;
10;École supérieure des arts et sciences du numérique (ESASN);ESASN;Lomé;
11;École Supérieure d’Administration et de Gestion Notre Dame de l’Église (ESAG-NDE);ESAG-NDE;Lomé;
12;École Supérieure d’Audit et de Management (ESAM);ESAM;Lomé;
13;École Supérieure d’Informatique et de Gestion (ESIG GLOBAL SUCCESS);ESIG GLOBAL SUCCESS;Lomé;
14;École Supérieure d’Informatique, de Business et d’Administration (ESIBA);ESIBA;Lomé;
15;École Supérieure de Commerce et de l’Économie Numérique (ESCEN);ESCEN;Lomé;
16;École Supérieure de Formation Professionnelle (CFP ANCILA);CFP ANCILA;Lomé;
17;École Supérieure de Gestion, d’Informatique et des Sciences (ESGIS);ESGIS;Lomé;
18;École Supérieure de Management (ESMA);ESMA;Lomé;
19;École Supérieure de Technologie, du Cinéma et de l’Audiovisuel (ESTECA);ESTECA;Lomé;
20;École Supérieure des Affaires (ESA – Agoè et ESA – Super Taco);ESA – Agoè et ESA – Super Taco;Lomé;
21;École Supérieure des Études Cinématographiques (ESEC);ESEC;Lomé;
22;École Supérieure des Ponts et Chaussées (ESPC);ESPC;Lomé;
23;École Supérieure des Sciences Économiques, de Gestion et de la Statistique Dr DJOKA;;Lomé;
24;École supérieure des techniques appliquées aux bâtiments (ESTABAT);ESTABAT;Lomé;
25;École Supérieure des Techniques et Arts de la Communication (ESTAC);ESTAC;Lomé;
26;École Supérieure du Tourisme et d’Hôtellerie Stella Matutina (ESTH-SM);ESTH-SM;Lomé;
27;École supérieure de formation professionnelle (ESFP-FIMAC);ESFP-FIMAC;Lomé;
28;Faculté de Théologie des Assemblées de Dieu (FATAD);FATAD;Lomé;
29;FORMATEC;;Lomé;
30;Haute Technologie d’Informatique et Bureautique Atlantis (HTIB-ATLANTIS);HTIB-ATLANTIS;Lomé;
31;Hôtel École AVENIDA;;Lomé;
32;Hôtel École La Savoureuse (HES);HES;Lomé;
33;Institut Africain d’Administration et d’Études Commerciales (IAEC);IAEC;Lomé;
34;Institut Africain de Développement Sanitaire et Social (IADSS);IADSS;Lomé;
35;Institut Africain des Sciences, des Technologies et des Métiers (IASTM);IASTM;Lomé;
36;Institut Africain Le Leadership;;Lomé;
37;Institut de Formation et de Recherche pour le Développement Durable (IFORDD);IFORDD;Lomé;
38;Institut de Formation Technique Supérieure (IFTS);IFTS;Lomé;
39;Institut de Mathématique, des Sciences et Technologies (IMaST);IMaST;Lomé;
40;Institut de Recherche et de Formation en Développement Local (IRFODELCENTRE);IRFODELCENTRE;Lomé;
41;Institut de Technologie IPNET IT;;Lomé;
42;Institut du Génie Biomédical de Lomé (IGEB);IGEB;Lomé;
43;Institut Polytechnique DEFITECH;;Lomé;
44;Institut Polytechnique des Bâtiments et des Travaux Publics (IPBTP);IPBTP;Lomé;
45;Institut Supérieur LA MAITRISE;;Lomé;
46;Institut Supérieur « LE TECHNOCRATE »;;Lomé;
47;Institut Supérieur de Droit et d’Interprétariat (ISDI);ISDI;Lomé;
48;Institut Supérieur Agata Carelli (ISAC);ISAC;Lomé;
49;Institut Supérieur d’Administration, des Sciences Économiques et de Gestion (ISAGES);ISAGES;Lomé;
50;Institut Supérieur de Management Adonaï (ISM ADONAI);ISM ADONAI;Lomé;
51;Institut Supérieur de Management et de Développement (ISMAD);ISMAD;Lomé;
52;Haute École de Technologies et de Management des Lacs (HETML);HETML;Lomé;
53;Institut Supérieur de Technologies et de Management (ISTM);ISTM;Lomé;
54;Institut Supérieur des Langues et des Affaires (ISLA);ISLA;Lomé;
55;Institut Supérieur des Sciences Économiques et Commerciales (ISSECKOUVAHEY);ISSECKOUVAHEY;Lomé;
56;Institut Supérieur Don Bosco;;Lomé;
57;Institut Supérieur Privé de Management (IPM);IPM;Lomé;
58;Institut Universitaire LUCAS University College;;Lomé;
59;Institut Universitaire Global Wealth;;Lomé;
60;Institut UPSILON Collège de Paris Supérieur;;Lomé;
61;Institut des Technologies Avancées (JUMAU ITA);JUMAU ITA;Lomé;
62;Lomé Business School (LBS);LBS;Lomé;
63;Institut Supérieur de Bâtiment Ayin’a (ISBA);ISBA;Lomé;
64;Social and Inclusive Business Institute of Togo (SIBI-Togo);SIBI-Togo;Lomé;
65;Institut des Hautes Études des Relations Internationales et Stratégiques (IHERIS);IHERIS;Lomé;
66;École Supérieure des Arts de la Mode et des Arts Plastiques (ESAMOD);ESAMOD;Lomé;
67;Université Catholique de l’Afrique de l’Ouest – Unité Universitaire du Togo (UCAO-UUT);UCAO-UUT;Lomé;
68;Institut Universitaire Global Wealth;;Lomé;= n°59
69;American Institute of Commonwealth – Togo (AIC-Togo);AIC-Togo;Lomé;
70;Heritage International University Institute (HIUI);HIUI;Lomé;
71;Institut Universitaire Nobel (IUN);IUN;Lomé;
72;École Supérieure d’Esthétique Appliquée Pharm-A-Peau (ESEA-Q’LS);ESEA-Q’LS;Lomé;
73;École Supérieure de l’Aéronautique et des Technologies – Togo (ESAT-Togo);ESAT-Togo;Lomé;
74;École des Micro-Entrepreneurs du Centre (EMC-Sokodé);EMC-Sokodé;Sokodé;
75;École Supérieure de Communication et de Gestion (ESCG-Tsévié);ESCG-Tsévié;Tsévié;
76;École Supérieure des Affaires (ESAKara);ESAKara;Kara;
77;École Supérieure des Ponts et Chaussées (ESPC-Kara);ESPC-Kara;Kara;
78;Institut de Formation aux Métiers de la Sécurité Sociale (IFOMESS-Kara);IFOMESS-Kara;Kara;
79;Institut de Formation aux Normes et Technologies de l’Informatique (IFNTISokodé);IFNTISokodé;Sokodé;
80;Institut des Sciences Technologies et Arts (ISTA-Kara);ISTA-Kara;Kara;
81;Institut Supérieur de Management Adonaï (ISM ADONAI-Kara);ISM ADONAI-Kara;Kara;
82;Institut Supérieur de Management Mgr BAKPESSI (Kara);;Kara;
83;Knowbridge University Institute (Sokodé);;Sokodé;
84;Institut de Recherche et de Formation en Développement Local (IRFODELCENTRE);IRFODELCENTRE;Lomé;= n°40
85;Institute Consortium Saint John Revelation Institute of Strategy and Leadership (ISL);ISL;Lomé;
86;École Supérieure d’Ingénieurs d’Aneho (ESIA);ESIA;Aného;
87;Hôtel École Concordia;;Lomé;
88;École Supérieure Le Miel de KpovéZion;;Lomé;
89;Univers du Leadership International de XOESE (Univers XOESE);Univers XOESE;Lomé;
90;International School of Technology and Business (ISTB);ISTB;Lomé;
91;École Supérieure de Relations Internationales et de Diplomatie (ESRID);ESRID;Lomé;
92;Centre de Formation Supérieure SartenMode (CFS-SartenMode);CFS-SartenMode;Lomé;
93;Global University School of Science and Technology (GUST);GUST;Lomé;
